"name" "description"
"30020_irnt" "Haemoglobin concentration"
"30030_irnt" "Haematocrit percentage"
"30040_irnt" "Mean corpuscular volume"
"30050_irnt" "Mean corpuscular haemoglobin"
"30060_irnt" "Mean corpuscular haemoglobin concentration"
"30070_irnt" "Red blood cell (erythrocyte) distribution width"
"30080_irnt" "Platelet count "
"30090_irnt" "Platelet crit"
"30100_irnt" "Mean platelet (thrombocyte) volume"
"30110_irnt" "Platelet distribution width"
"30120_irnt" "Lymphocyte count"
"30130_irnt" "Monocyte count"
"30140_irnt" "Neutrophill count"
"30150" "Eosinophill count"
"30160" "Basophill count"
"30180_irnt" "Lymphocyte percentage"
"30190_irnt" "Monocyte percentage"
"30200_irnt" "Neutrophill percentage"
"30210_irnt" "Eosinophill percentage"
"30220_irnt" "Basophill percentage"
"30240_irnt" "Reticulocyte percentage"
"30250_irnt" "Reticulocyte count"
"30260_irnt" "Mean reticulocyte volume"
"30270_irnt" "Mean sphered cell volume"
"30280_irnt" "Immature reticulocyte fraction"
"30290_irnt" "High light scatter reticulocyte percentage"
"30300_irnt" "High light scatter reticulocyte count"
"30510_irnt" "Creatinine (enzymatic) in urine"
"30530_irnt" "Sodium in urine"
"3062_irnt" "Forced vital capacity (FVC)"
"3063_irnt" "Forced expiratory volume in 1-second (FEV1)"
"3064_irnt" "Peak expiratory flow (PEF)"
"3143_irnt" "Ankle spacing width"
"3144_irnt" "Heel Broadband ultrasound attenuation, direct entry"
"3147_irnt" "Heel quantitative ultrasound index (QUI), direct entry"
"3148_irnt" "Heel bone mineral density (BMD)"
"3456" "Number of cigarettes currently smoked daily (current cigarette smokers)"
"3476" "Difficulty not smoking for 1 day"
"3731" "Former alcohol drinker"
"3761_irnt" "Age hay fever, rhinitis or eczema diagnosed"
"3786_irnt" "Age asthma diagnosed"
"400_irnt" "Time to complete round"
"4079_irnt" "Diastolic blood pressure, automated reading"
"4080_irnt" "Systolic blood pressure, automated reading"
"4100_irnt" "Ankle spacing width (left)"
"4101_irnt" "Heel broadband ultrasound attenuation (left)"
"4104_irnt" "Heel quantitative ultrasound index (QUI), direct entry (left)"
"4105_irnt" "Heel bone mineral density (BMD) (left)"
"4106_irnt" "Heel bone mineral density (BMD) T-score, automated (left)"
"4119_irnt" "Ankle spacing width (right)"
"4120_irnt" "Heel broadband ultrasound attenuation (right)"
"4123_irnt" "Heel quantitative ultrasound index (QUI), direct entry (right)"
"4124_irnt" "Heel bone mineral density (BMD) (right)"
"4125_irnt" "Heel bone mineral density (BMD) T-score, automated (right)"
"4194_irnt" "Pulse rate"
"46_irnt" "Hand grip strength (left)"
"47_irnt" "Hand grip strength (right)"
"48_irnt" "Waist circumference"
"49_irnt" "Hip circumference"
"50_irnt" "Standing height"
"5084_irnt" "Spherical power (right)"
"5085_irnt" "Spherical power (left)"
"5086_irnt" "Cylindrical power (left)"
"5096_irnt" "3mm weak meridian (left)"
"5097_irnt" "6mm weak meridian (left)"
"5098_irnt" "6mm weak meridian (right)"
"5099_irnt" "3mm weak meridian (right)"
"5116_irnt" "3mm cylindrical power (right)"
"5119_irnt" "3mm cylindrical power (left)"
"5132_irnt" "3mm strong meridian (right)"
"5133_irnt" "6mm strong meridian (right)"
"5134_irnt" "6mm strong meridian (left)"
"5135_irnt" "3mm strong meridian (left)"
"5208_irnt" "logMAR, final (left)"
"5254_irnt" "Intra-ocular pressure, corneal-compensated (right)"
"5255_irnt" "Intra-ocular pressure, Goldmann-correlated (right)"
"5256_irnt" "Corneal hysteresis (right)"
"5257_irnt" "Corneal resistance factor (right)"
"5262_irnt" "Intra-ocular pressure, corneal-compensated (left)"
"5263_irnt" "Intra-ocular pressure, Goldmann-correlated (left)"
"5264_irnt" "Corneal hysteresis (left)"
"5265_irnt" "Corneal resistance factor (left)"
"5983_irnt" "ECG, heart rate"
"6033_irnt" "Maximum heart rate during fitness test"
"6138_1" "Qualifications: College or University degree"
"6138_100" "Qualifications: None of the above"
"6138_2" "Qualifications: A levels/AS levels or equivalent"
"6144_3" "Never eat eggs, dairy, wheat, sugar: Wheat products"
"6144_4" "Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar"
"6147_1" "Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia')"
"6148_1" "Eye problems/disorders: Diabetes related eye disease"
"6148_5" "Eye problems/disorders: Macular degeneration"
"6149_1" "Mouth/teeth dental problems: Mouth ulcers"
"6149_100" "Mouth/teeth dental problems: None of the above"
"6149_2" "Mouth/teeth dental problems: Painful gums"
"6149_6" "Mouth/teeth dental problems: Dentures"
"6150_1" "Vascular/heart problems diagnosed by doctor: Heart attack"
"6150_100" "Vascular/heart problems diagnosed by doctor: None of the above"
"6150_2" "Vascular/heart problems diagnosed by doctor: Angina"
"6150_4" "Vascular/heart problems diagnosed by doctor: High blood pressure"
"6151_5" "Fractured bone site(s): Wrist"
"6151_7" "Fractured bone site(s): Other bones"
"6152_100" "Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above"
"6152_5" "Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT)"
"6152_7" "Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung"
"6152_8" "Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma"
"6152_9" "Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema"
"6154_1" "Medication for pain relief, constipation, heartburn: Aspirin"
"6154_3" "Medication for pain relief, constipation, heartburn: Paracetamol"
"6159_1" "Pain type(s) experienced in last month: Headache"
"6159_100" "Pain type(s) experienced in last month: None of the above"
"6159_5" "Pain type(s) experienced in last month: Stomach or abdominal pain"
"6160_2" "Leisure/social activities: Pub or social club"
"738" "Average total household income before tax"
"78_irnt" "Heel bone mineral density (BMD) T-score, automated"
"845" "Age completed full time education"
"C_ENDOCRINE" NA
"C_EYE_BRAIN_NEURO" NA
"C_MELANOMA_SKIN" "Malignant melanoma of skin"
"C_OTHER_SKIN" "Other malignant neoplasms of skin"
"C_SKIN" NA
"C3_ENDOCRINE" "Malignant neoplasm of endocrine gland"
"C3_EYE_BRAIN_NEURO" "Malignant neoplasm of eye, brain and central nervous system"
"C3_MELANOMA_SKIN" "Malignant melanoma of skin"
"C3_OTHER_SKIN" "Other malignant neoplasms of skin"
"C3_SKIN" "Malignant neoplasm of skin"
"C43" "Diagnoses - main ICD10: C43 Malignant melanoma of skin"
"C44" "Diagnoses - main ICD10: C44 Other malignant neoplasms of skin"
"CARDIAC_ARRHYTM" "Cardiac arrhytmias, COPD co-morbidities"
"E10" "Diagnoses - main ICD10: E10 Insulin-dependent diabetes mellitus"
"E4_DM1" "Type 1 diabetes"
"E4_OBESITY" "Obesity"
"E4_OBESITYNAS" "Obesity, other/unspecified"
"E83" "Diagnoses - main ICD10: E83 Disorders of mineral metabolism"
"F43" "Diagnoses - main ICD10: F43 Reaction to severe stress, and adjustment disorders"
"G6_NEURODEG" "Other degenerative diseases of the nervous system"
"H7_GLAUCCLOSEPRIM" "Primary angle-closure glaucoma"
"H8_OTIMEDNAS" "Otitis media, unspecified"
"I21" "Diagnoses - main ICD10: I21 Acute myocardial infarction"
"I25" "Diagnoses - main ICD10: I25 Chronic ischaemic heart disease"
"I26" "Diagnoses - main ICD10: I26 Pulmonary embolism"
"I48" "Diagnoses - main ICD10: I48 Atrial fibrillation and flutter"
"I80" "Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis"
"I83" "Diagnoses - main ICD10: I83 Varicose veins of lower extremities"
"I9_CHD" "Major coronary heart disease event"
"I9_CHD_NOREV" "Major coronary heart disease event excluding revascularizations"
"I9_CORATHER" "Coronary atherosclerosis"
"I9_DISVEINLYMPH" "Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
"I9_DVTANDPULM" "DVT of lower extremities and pulmonary embolism"
"I9_IHD" "Ischaemic heart disease, wide definition"
"I9_MI" "Myocardial infarction"
"I9_MI_STRICT" "Myocardial infarction, strict"
"I9_PHLETHROMBDVTLOW" "DVT of lower extremities"
"I9_VTE" "Venous thromboembolism"
"I95" "Diagnoses - main ICD10: I95 Hypotension"
"IX_CIRCULATORY" "Diseases of the circulatory system"
"J02" "Diagnoses - main ICD10: J02 Acute pharyngitis"
"J33" "Diagnoses - main ICD10: J33 Nasal polyp"
"J45" "Diagnoses - main ICD10: J45 Asthma"
"K11_COELIAC" "Coeliac disease"
"K11_GALLBILPANC" "Disorders of gallbladder, biliary tract and pancreas"
"K11_HERNIA" "Hernia"
"K11_OTHDIG" "Other diseases of the digestive system"
"K40" "Diagnoses - main ICD10: K40 Inguinal hernia"
"K42" "Diagnoses - main ICD10: K42 Umbilical hernia"
"K57" "Diagnoses - main ICD10: K57 Diverticular disease of intestine"
"K80" "Diagnoses - main ICD10: K80 Cholelithiasis"
"K81" "Diagnoses - main ICD10: K81 Cholecystitis"
"K90" "Diagnoses - main ICD10: K90 Intestinal malabsorption"
"KRA_PSY_DEMENTIA" "Any dementia"
"L03" "Diagnoses - main ICD10: L03 Cellulitis"
"L12_EPIDERMALTHICKOTH" "Other epidermal thickening"
"L12_EPIDERMTHICKNAS" "Other and unspecified epidermal thickening"
"L12_NONIONRADISKIN" "Skin changes due to chronic exposure to nonionizing radiation"
"L57" "Diagnoses - main ICD10: L57 Skin changes due to chronic exposure to nonionising radiation"
"L72" "Diagnoses - main ICD10: L72 Follicular cysts of skin and subcutaneous tissue"
"L85" "Diagnoses - main ICD10: L85 Other epidermal thickening"
"M13_CHRONDROPATHIES" "Chrondropathies"
"M13_DUPUTRYEN" "Palmar fascial fibromatosis [Dupuytren]"
"M13_FIBROBLASTIC" "Fibroblastic disorders"
"M13_SOFTOVERUSE" "Soft tissue disorders related to use, overuse and pressure"
"M72" "Diagnoses - main ICD10: M72 Fibroblastic disorders"
"M79" "Diagnoses - main ICD10: M79 Other soft tissue disorders, not elsewhere classified"
"M96" "Diagnoses - main ICD10: M96 Postprocedural musculoskeletal disorders, not elsewhere classified"
"N39" "Diagnoses - main ICD10: N39 Other disorders of urinary system"
"NEURODEGOTH" "Other degenerative diseases of the nervous system"
"OTHER_ILD_CVD_COMORB" "Other ILD-related CVD-co-morbidities"
"R69" "Diagnoses - main ICD10: R69 Unknown and unspecified causes of morbidity"
"S83" "Diagnoses - main ICD10: S83 Dislocation, sprain and strain of joints and ligaments of knee"
"T17" "Diagnoses - main ICD10: T17 Foreign body in respiratory tract"
"XII_SKIN_SUBCUTAN" "Diseases of the skin and subcutaneous tissue"
